DateTime,Carvajal - Sevillana,Centro de Alto Rendimiento,Fontibon,Guaymaral,Kennedy
01-01-2015 01:00,"35,7","21,9",----,"19,2","37,7"
01-01-2015 02:00,"41,2","52,7",----,41,"79,7"
01-01-2015 03:00,"36,2","60,9",----,"118,3","46,8"
01-01-2015 04:00,28,"65,6",----,"94,3","43,5"
01-01-2015 05:00,"29,8","57,3",----,"40,2","54,7"
01-01-2015 06:00,"35,5",47,----,37,"47,7"
01-01-2015 07:00,"32,2","32,5",----,"41,2","44,8"
01-01-2015 08:00,24,"11,6",----,"33,7","39,5"
01-01-2015 09:00,"8,8","6,3",----,"18,7","40,2"
01-01-2015 10:00,----,"13,7",----,"24,2","26,7"
01-01-2015 11:00,----,"13,8",----,"9,2","5,7"
01-01-2015 12:00,----,"7,7",----,"4,3","8,8"
01-01-2015 13:00,----,"8,2",----,"0,8","7,8"
01-01-2015 14:00,----,----,----,0,"7,8"
01-01-2015 15:00,"6,5","4,4",----,0,"11,8"
01-01-2015 16:00,13,"6,7",----,----,"11,8"
01-01-2015 17:00,"18,2",----,----,----,17
01-01-2015 18:00,"21,2",----,----,1,"21,7"
01-01-2015 19:00,"23,8","9,5",----,"1,3","19,8"
01-01-2015 20:00,"29,5","9,4",----,"3,7","17,7"
01-01-2015 21:00,"35,2","5,4",----,7,"12,3"
01-01-2015 22:00,"35,8","4,7",----,"7,7",18
01-01-2015 23:00,34,"4,3",----,"10,5","13,5"
01-01-2015 24:00,"28,3","6,2",----,8,"17,3"
02-01-2015 01:00,"21,7",----,----,"8,3","21,5"
02-01-2015 02:00,"16,2",6,----,"10,5","8,8"
02-01-2015 03:00,"12,3","6,8",----,"12,8","9,3"
02-01-2015 04:00,"8,7",----,----,"12,3","14,7"
02-01-2015 05:00,"1,2","8,4",----,"13,2","10,7"
02-01-2015 06:00,"0,8",----,----,10,"23,8"
02-01-2015 07:00,"7,2",10,----,16,22
02-01-2015 08:00,"13,5",----,----,21,"19,5"
02-01-2015 09:00,"12,2",----,----,"20,8","29,3"
02-01-2015 10:00,"4,5",----,----,"17,2","15,3"
02-01-2015 11:00,----,----,----,3,"11,2"
02-01-2015 12:00,----,"4,9",----,"2,8","6,7"
02-01-2015 13:00,"2,8",----,----,"1,8","5,7"
02-01-2015 14:00,"6,3",----,----,1,"9,2"
02-01-2015 15:00,"10,8","7,5",----,----,11
02-01-2015 16:00,"15,3","7,6",----,----,15
02-01-2015 17:00,18,16,----,----,"11,8"
02-01-2015 18:00,"20,7","7,5",----,----,"19,5"
02-01-2015 19:00,"25,7","8,4",----,"5,7","12,2"
02-01-2015 20:00,37,"11,2",----,"8,7","14,5"
02-01-2015 21:00,"47,8","6,3",----,7,"20,5"
02-01-2015 22:00,"52,2","8,1",----,7,"13,8"
02-01-2015 23:00,47,"5,1",----,"6,7",18
02-01-2015 24:00,"36,8","7,9",----,"5,7","17,7"
03-01-2015 01:00,30,"5,6",----,"8,7","15,8"
03-01-2015 02:00,"25,7","6,7",----,"7,5","14,2"
03-01-2015 03:00,"20,5","9,1",----,"10,7","10,3"
03-01-2015 04:00,"11,2","5,6",----,13,"11,5"
03-01-2015 05:00,"4,5",----,----,"8,5","10,3"
03-01-2015 06:00,9,"11,6",----,11,"17,7"
03-01-2015 07:00,"23,5","11,2",----,"11,5","23,7"
03-01-2015 08:00,"30,2",----,----,"15,3",38
03-01-2015 09:00,"24,5",----,----,"20,3","40,7"
03-01-2015 10:00,"11,7","11,5",----,"12,8","26,3"
03-01-2015 11:00,3,"11,3",----,"14,3","13,2"
03-01-2015 12:00,"2,2",----,----,"1,5","13,5"
03-01-2015 13:00,"4,7","7,5",----,"3,8",11
03-01-2015 14:00,"8,2","10,1",----,3,11
03-01-2015 15:00,"12,8","5,5",----,----,11
03-01-2015 16:00,16,"5,5",----,----,"11,5"
03-01-2015 17:00,"17,3","21,6",----,----,14
03-01-2015 18:00,"21,7","7,4",----,----,14
03-01-2015 19:00,"25,8","16,4",----,"6,3",----
03-01-2015 20:00,"36,3","7,3",----,"7,7","17,8"
03-01-2015 21:00,"44,8","5,6",----,"6,7","21,7"
03-01-2015 22:00,"44,7",----,----,"10,3","20,7"
03-01-2015 23:00,"41,2","4,8",----,"11,3",22
03-01-2015 24:00,34,6,----,"7,5","13,5"
04-01-2015 01:00,"27,2","7,2",----,"7,8","19,8"
04-01-2015 02:00,"22,2","6,3",----,"18,3",14
04-01-2015 03:00,"17,8","4,2",----,"0,3","13,8"
04-01-2015 04:00,"15,8","4,1",----,"2,7",12
04-01-2015 05:00,"14,2",----,----,"6,5","8,5"
04-01-2015 06:00,"13,7","5,1",----,9,"14,2"
04-01-2015 07:00,"16,7",----,----,"11,7",7
04-01-2015 08:00,16,----,----,"21,3","17,3"
04-01-2015 09:00,"6,5","9,9",----,"3,2","17,3"
04-01-2015 10:00,----,"5,2",----,"3,7","8,7"
04-01-2015 11:00,----,"5,6",----,2,"8,3"
04-01-2015 12:00,----,"6,8",----,2,"13,2"
04-01-2015 13:00,----,----,----,2,"4,5"
04-01-2015 14:00,----,"4,2",----,----,"8,3"
04-01-2015 15:00,"4,8","5,1",----,----,"13,8"
04-01-2015 16:00,"6,8","6,5",----,----,8
04-01-2015 17:00,"9,8","9,8",----,----,"7,7"
04-01-2015 18:00,"12,3","8,6",----,"1,2",6
04-01-2015 19:00,"19,3","9,6",----,"2,2","6,3"
04-01-2015 20:00,"31,7","10,4",----,"4,2","8,3"
04-01-2015 21:00,"41,8","9,7",----,"9,3",11
04-01-2015 22:00,"44,7",----,----,"6,2","15,7"
04-01-2015 23:00,"41,5","4,6",----,8,"14,3"
04-01-2015 24:00,36,----,----,12,"14,8"
