DateTime,Las Ferias,Puente Aranda,San Cristobal,Suba,Usaquen
01-01-2015 01:00,----,----,"19,2","53,3","1,8"
01-01-2015 02:00,----,----,29,"66,2","6,2"
01-01-2015 03:00,----,----,41,"96,5","9,9"
01-01-2015 04:00,----,----,"37,7","89,7",19
01-01-2015 05:00,----,----,38,"65,5",4
01-01-2015 06:00,----,----,"33,5","53,3","4,8"
01-01-2015 07:00,----,----,"26,5","51,5","3,2"
01-01-2015 08:00,----,----,"17,5","34,3","19,9"
01-01-2015 09:00,----,----,"14,2","35,8","18,5"
01-01-2015 10:00,----,----,"11,7","31,2","11,1"
01-01-2015 11:00,----,----,9,"11,2","9,8"
01-01-2015 12:00,----,----,"7,3","6,2","5,9"
01-01-2015 13:00,----,----,"3,5",2,"6,1"
01-01-2015 14:00,----,----,"0,5",----,"0,7"
01-01-2015 15:00,----,----,3,----,"3,5"
01-01-2015 16:00,----,----,"8,2",----,"1,7"
01-01-2015 17:00,----,----,"14,3","4,2","11,7"
01-01-2015 18:00,----,----,"14,2","5,2","4,3"
01-01-2015 19:00,----,----,"11,8",6,"8,7"
01-01-2015 20:00,----,----,"9,5","6,8",8
01-01-2015 21:00,----,----,"7,5","11,3","3,5"
01-01-2015 22:00,----,----,5,14,"5,8"
01-01-2015 23:00,----,----,----,"17,5","7,3"
01-01-2015 24:00,----,----,----,10,"4,7"
02-01-2015 01:00,----,----,----,"10,5","2,3"
02-01-2015 02:00,----,----,"0,2","12,8","3,4"
02-01-2015 03:00,----,----,3,"11,5","4,7"
02-01-2015 04:00,----,----,"8,2","9,8","6,3"
02-01-2015 05:00,----,----,"7,7","14,7","0,3"
02-01-2015 06:00,----,----,7,18,"6,4"
02-01-2015 07:00,----,----,"7,3","19,3","11,1"
02-01-2015 08:00,----,----,9,"26,8","7,4"
02-01-2015 09:00,----,----,"5,8","28,3","6,7"
02-01-2015 10:00,----,----,----,"13,3","11,5"
02-01-2015 11:00,----,----,"12,2","4,2","5,9"
02-01-2015 12:00,----,----,"11,8","0,7","8,8"
02-01-2015 13:00,----,----,"9,5",4,"2,9"
02-01-2015 14:00,----,----,9,"4,3","4,2"
02-01-2015 15:00,----,----,"9,7","6,5","3,1"
02-01-2015 16:00,----,----,10,9,"6,3"
02-01-2015 17:00,----,----,"8,3","9,5","19,2"
02-01-2015 18:00,----,----,"7,5","12,2","9,3"
02-01-2015 19:00,----,----,"7,8","13,3","8,1"
02-01-2015 20:00,----,----,"8,7",15,"2,4"
02-01-2015 21:00,----,----,"7,8","14,3","5,2"
