DateTime,MinAmbiente,Movil 7ma,Tunal
01-01-2015 01:00,"12,8",----,"62,6"
01-01-2015 02:00,"24,7",----,"77,8"
01-01-2015 03:00,"37,2",----,"28,3"
01-01-2015 04:00,"32,8",----,20
01-01-2015 05:00,"27,8",----,"17,2"
01-01-2015 06:00,"6,8",----,"16,5"
01-01-2015 07:00,"6,8",----,"9,3"
01-01-2015 08:00,"10,5",----,----
01-01-2015 09:00,"7,5",----,----
01-01-2015 10:00,"4,7",----,"8,6"
01-01-2015 11:00,"3,2",----,----
01-01-2015 12:00,4,----,"11,8"
01-01-2015 13:00,"4,3",----,7
01-01-2015 14:00,"6,3",----,"14,9"
01-01-2015 15:00,"7,7",----,----
01-01-2015 16:00,"5,7",----,"26,6"
01-01-2015 17:00,"4,3",----,"15,3"
01-01-2015 18:00,"5,7",----,"28,7"
01-01-2015 19:00,"4,7",----,"22,8"
01-01-2015 20:00,9,----,"12,4"
01-01-2015 21:00,"13,5",----,"14,1"
01-01-2015 22:00,"10,7",----,"11,6"
01-01-2015 23:00,"8,7",----,"14,9"
01-01-2015 24:00,"6,5",----,"8,5"
02-01-2015 01:00,"4,3",----,"5,4"
02-01-2015 02:00,6,----,"5,2"
02-01-2015 03:00,6,----,"9,5"
02-01-2015 04:00,"5,7",----,"7,7"
02-01-2015 05:00,"3,7",----,"4,4"
02-01-2015 06:00,"2,8",----,10
02-01-2015 07:00,"7,5",----,"16,8"
02-01-2015 08:00,10,----,----
02-01-2015 09:00,"9,5",----,"7,3"
02-01-2015 10:00,"7,3",----,"18,7"
02-01-2015 11:00,"8,5",----,8
02-01-2015 12:00,"6,8",----,"14,2"
02-01-2015 13:00,"10,5",----,14
02-01-2015 14:00,"7,8",----,"15,3"
02-01-2015 15:00,7,----,"5,1"
02-01-2015 16:00,"7,5",----,"17,7"
02-01-2015 17:00,"9,7",----,"17,8"
02-01-2015 18:00,"8,2",----,"19,5"
02-01-2015 19:00,"9,2",----,20
02-01-2015 20:00,"10,2",----,"11,8"
02-01-2015 21:00,"11,5",----,"13,9"
02-01-2015 22:00,"13,2",----,"7,2"
02-01-2015 23:00,"9,5",----,"8,4"
02-01-2015 24:00,"11,5",----,"12,7"
03-01-2015 01:00,"8,7",----,"7,3"
03-01-2015 02:00,"6,8",----,"13,4"
03-01-2015 03:00,"5,8",----,----
03-01-2015 04:00,"5,3",----,----
03-01-2015 05:00,7,----,"6,9"
03-01-2015 06:00,"7,5",----,"14,4"
03-01-2015 07:00,10,----,"28,7"
03-01-2015 08:00,"10,7",----,----
03-01-2015 09:00,"12,8",----,"10,5"
03-01-2015 10:00,"7,2",----,8
03-01-2015 11:00,"8,7",----,"8,3"
03-01-2015 12:00,"13,2",----,"11,5"
03-01-2015 13:00,"16,5",----,"9,1"
03-01-2015 14:00,"4,7",----,15
03-01-2015 15:00,"9,5",----,"11,3"
03-01-2015 16:00,"15,7",----,"15,2"
03-01-2015 17:00,"9,7",----,"17,2"
03-01-2015 18:00,"12,7",----,"19,1"
03-01-2015 19:00,"11,2",----,"22,9"
03-01-2015 20:00,"11,5",----,"6,9"
03-01-2015 21:00,"9,5",----,16
03-01-2015 22:00,"12,7",----,"15,4"
03-01-2015 23:00,"14,8",----,"5,8"
03-01-2015 24:00,"8,5",----,"8,4"
04-01-2015 01:00,6,----,"12,9"
04-01-2015 02:00,"6,8",----,"9,5"
04-01-2015 03:00,"10,7",----,"9,1"
04-01-2015 04:00,"8,5",----,----
04-01-2015 05:00,"6,2",----,----
04-01-2015 06:00,"6,8",----,----
04-01-2015 07:00,"6,5",----,"8,6"
04-01-2015 08:00,"9,5",----,----
04-01-2015 09:00,"11,5",----,----
04-01-2015 10:00,"10,7",----,6
04-01-2015 11:00,"17,5",----,"15,3"
04-01-2015 12:00,"10,2",----,"18,5"
04-01-2015 13:00,"12,3",----,"14,1"
04-01-2015 14:00,"19,7",----,"15,1"
04-01-2015 15:00,24,----,"12,4"
04-01-2015 16:00,"27,2",----,"20,5"
04-01-2015 17:00,"17,8",----,"40,4"
04-01-2015 18:00,"15,8",----,"16,6"
04-01-2015 19:00,"11,2",----,"23,4"
04-01-2015 20:00,"16,5",----,"10,6"
04-01-2015 21:00,"13,8",----,"13,9"
04-01-2015 22:00,"12,5",----,"7,7"
04-01-2015 23:00,"9,7",----,"8,4"
04-01-2015 24:00,"7,7",----,"11,9"
05-01-2015 01:00,"5,5",----,"9,8"
05-01-2015 02:00,"3,2",----,----
05-01-2015 03:00,"4,3",----,"8,7"
05-01-2015 04:00,"5,5",----,----
05-01-2015 05:00,3,----,"10,7"
05-01-2015 06:00,"4,7",----,"6,7"
05-01-2015 07:00,"12,5",----,"5,8"
05-01-2015 08:00,"10,5",----,----
05-01-2015 09:00,12,----,"11,9"
05-01-2015 10:00,"6,3",----,----
05-01-2015 11:00,"5,3",----,"11,7"
05-01-2015 12:00,"15,5",----,"12,5"
05-01-2015 13:00,8,----,"10,4"
05-01-2015 14:00,"8,3",----,"16,7"
05-01-2015 15:00,"9,8",----,"6,6"
05-01-2015 16:00,9,----,"13,1"
05-01-2015 17:00,----,----,"21,3"
05-01-2015 18:00,"10,8",----,"27,9"
05-01-2015 19:00,"9,5",----,"18,3"
05-01-2015 20:00,"6,8",----,"13,1"
05-01-2015 21:00,6,----,"9,6"
05-01-2015 22:00,"6,5",----,"13,6"
05-01-2015 23:00,"8,8",----,"8,6"
05-01-2015 24:00,"7,7",----,"14,9"
06-01-2015 01:00,6,----,"7,4"
06-01-2015 02:00,"5,7",----,"12,6"
06-01-2015 03:00,"4,2",----,"6,9"
06-01-2015 04:00,"5,2",----,"6,3"
06-01-2015 05:00,6,----,"7,7"
06-01-2015 06:00,"6,3",----,17
06-01-2015 07:00,"9,7",----,"22,8"
06-01-2015 08:00,"18,3",----,----
06-01-2015 09:00,"19,8",----,"5,8"
06-01-2015 10:00,"18,2",----,"10,8"
06-01-2015 11:00,"13,5",----,"13,7"
06-01-2015 12:00,"10,5",----,"15,3"
06-01-2015 13:00,"7,8",----,"8,8"
06-01-2015 14:00,"7,7",----,"11,8"
06-01-2015 15:00,11,----,"17,8"
06-01-2015 16:00,"10,2",----,"19,3"
06-01-2015 17:00,"6,5",----,"33,8"
06-01-2015 18:00,"9,7",----,"27,3"
06-01-2015 19:00,"12,3",----,"25,8"
06-01-2015 20:00,9,----,"17,9"
06-01-2015 21:00,"8,8",----,"15,1"
06-01-2015 22:00,"7,7",----,"14,2"
06-01-2015 23:00,"7,8",----,"16,2"
06-01-2015 24:00,"15,8",----,"13,2"
07-01-2015 01:00,10,----,----
07-01-2015 02:00,"9,7",----,"10,4"
07-01-2015 03:00,"7,7",----,"6,1"
07-01-2015 04:00,6,----,"10,7"
07-01-2015 05:00,6,----,"11,2"
07-01-2015 06:00,"6,2",----,"23,3"
07-01-2015 07:00,"8,5",----,"16,9"
07-01-2015 08:00,"16,8",----,----
07-01-2015 09:00,"18,7",----,----
07-01-2015 10:00,"6,7",----,"16,1"
07-01-2015 11:00,"5,2",----,"13,6"
07-01-2015 12:00,"5,8",----,"16,8"
07-01-2015 13:00,"5,3",----,"14,7"
07-01-2015 14:00,"7,2",----,"18,1"
07-01-2015 15:00,"9,2",----,"10,6"
07-01-2015 16:00,"14,7",----,"22,2"
07-01-2015 17:00,"12,8",----,"48,9"
07-01-2015 18:00,13,----,"31,6"
07-01-2015 19:00,"17,3",----,23
07-01-2015 20:00,"15,5",----,"12,3"
07-01-2015 21:00,"21,5",----,"12,7"
07-01-2015 22:00,"13,3",----,"20,8"
07-01-2015 23:00,"9,8",----,"12,3"
07-01-2015 24:00,"9,2",----,----
08-01-2015 01:00,"9,3",----,----
08-01-2015 02:00,"5,7",----,"18,3"
08-01-2015 03:00,"4,2",----,"12,2"
08-01-2015 04:00,"5,5",----,----
08-01-2015 05:00,"8,3",----,----
08-01-2015 06:00,11,----,"40,8"
08-01-2015 07:00,"17,7",----,"54,4"
08-01-2015 08:00,"28,3",----,"22,4"
08-01-2015 09:00,"37,8",----,22
08-01-2015 10:00,"25,3",----,"20,8"
08-01-2015 11:00,17,----,"19,7"
08-01-2015 12:00,19,----,"19,1"
08-01-2015 13:00,"30,7",----,"19,8"
08-01-2015 14:00,"36,3",----,"21,9"
08-01-2015 15:00,"20,8",----,"28,4"
08-01-2015 16:00,"12,7",----,"50,5"
08-01-2015 17:00,"29,5",----,"26,9"
08-01-2015 18:00,"44,5",----,"28,3"
08-01-2015 19:00,"28,8",----,"25,1"
08-01-2015 20:00,"12,2",----,"19,3"
08-01-2015 21:00,"7,8",----,"12,3"
08-01-2015 22:00,"6,7",----,"17,8"
08-01-2015 23:00,5,----,"11,2"
08-01-2015 24:00,"5,7",----,"10,7"
09-01-2015 01:00,"8,8",----,"12,5"
09-01-2015 02:00,"8,2",----,"12,2"
09-01-2015 03:00,"8,5",----,"8,1"
09-01-2015 04:00,"6,7",----,----
09-01-2015 05:00,"9,3",----,"9,6"
09-01-2015 06:00,"6,3",----,"13,7"
09-01-2015 07:00,8,----,10
09-01-2015 08:00,"8,2",----,"23,6"
09-01-2015 09:00,"10,7",----,"29,5"
09-01-2015 10:00,"23,8",----,"12,2"
09-01-2015 11:00,"42,7",----,"23,1"
09-01-2015 12:00,"16,8",----,----
09-01-2015 13:00,"19,3",----,----
09-01-2015 14:00,"12,2",----,----
09-01-2015 15:00,"19,2",----,----
09-01-2015 16:00,23,----,"15,3"
09-01-2015 17:00,"14,5",----,17
09-01-2015 18:00,"20,5",----,"13,8"
09-01-2015 19:00,"12,5",----,"12,6"
