DateTime,Carvajal - Sevillana,Centro de Alto Rendimiento,Fontibon,Guaymaral,Kennedy
01-01-2016 01:00,"18,9","3,7",----,4,70
01-01-2016 02:00,"28,8",----,----,3,47
01-01-2016 03:00,----,"10,4",----,1,10
01-01-2016 04:00,16,"13,7",----,2,10
01-01-2016 05:00,"11,7",----,----,4,15
01-01-2016 06:00,"9,1",----,----,38,----
01-01-2016 07:00,"8,9",3,----,51,----
01-01-2016 08:00,7,----,----,4,30
01-01-2016 09:00,"5,8",8,----,3,7
01-01-2016 10:00,"3,5","6,3",----,1,3
01-01-2016 11:00,"3,4","10,8",----,----,18
01-01-2016 12:00,"6,4","7,7",----,----,----
01-01-2016 13:00,"8,2",6,----,2,1
01-01-2016 14:00,"8,3","4,8",----,5,6
01-01-2016 15:00,"7,8","4,8",----,2,20
01-01-2016 16:00,"6,6","7,8",----,0,20
01-01-2016 17:00,10,----,----,----,15
01-01-2016 18:00,"10,9",----,----,----,16
01-01-2016 19:00,"10,9",5,----,5,16
01-01-2016 20:00,"13,7","3,1",----,7,14
01-01-2016 21:00,"17,2","3,5",----,2,14
01-01-2016 22:00,"18,3","10,2",----,1,23
01-01-2016 23:00,"18,6",11,----,2,16
01-01-2016 24:00,"16,7","0,2",----,----,14
02-01-2016 01:00,"12,1","12,4",----,4,11
02-01-2016 02:00,"9,1","8,4",----,9,6
02-01-2016 03:00,"7,9","11,9",----,10,----
02-01-2016 04:00,"7,5","3,7",----,9,17
02-01-2016 05:00,"8,7","6,4",----,5,17
02-01-2016 06:00,"12,4","16,3",----,9,13
02-01-2016 07:00,"16,7","14,5",----,8,12
02-01-2016 08:00,"18,4","7,9",----,3,9
02-01-2016 09:00,"17,8","7,4",----,0,9
02-01-2016 10:00,"13,1",----,----,----,9
02-01-2016 11:00,"13,2","2,7",----,----,7
02-01-2016 12:00,"14,3","3,5",----,5,21
02-01-2016 13:00,"15,6",----,----,5,10
02-01-2016 14:00,"13,8",----,----,3,6
