DateTime,Las Ferias,Puente Aranda,San Cristobal,Suba,Usaquen
01-01-2016 01:00,----,----,"8,6",11,17
01-01-2016 02:00,3,----,"12,5",6,----
01-01-2016 03:00,"8,4",----,"10,2",26,7
01-01-2016 04:00,"0,4",----,7,15,13
01-01-2016 05:00,"2,2",----,"4,3",19,10
01-01-2016 06:00,----,----,"2,7",23,7
01-01-2016 07:00,"7,9",----,"2,6",35,16
01-01-2016 08:00,----,----,"3,9",16,7
01-01-2016 09:00,----,----,"5,5",----,9
01-01-2016 10:00,----,----,"5,5",3,12
01-01-2016 11:00,----,----,"3,4",2,14
01-01-2016 12:00,----,----,"3,7",4,11
01-01-2016 13:00,"14,3",----,"3,3",7,11
01-01-2016 14:00,"10,1",----,"3,7",6,8
01-01-2016 15:00,"13,9",----,"4,1",10,13
01-01-2016 16:00,"7,3",----,"5,8",10,9
01-01-2016 17:00,"1,7",----,5,11,5
01-01-2016 18:00,"0,9",----,"5,3",9,11
01-01-2016 19:00,"0,1",----,"5,9",6,11
01-01-2016 20:00,----,----,"6,9",14,8
01-01-2016 21:00,----,----,"7,9",11,14
01-01-2016 22:00,----,----,"8,4",14,7
01-01-2016 23:00,1,----,"6,7",10,9
01-01-2016 24:00,----,----,"6,9",7,11
02-01-2016 01:00,----,----,"5,3",13,7
02-01-2016 02:00,----,----,"3,3",12,10
02-01-2016 03:00,"10,5",----,"2,6",14,10
02-01-2016 04:00,----,----,"2,7",11,7
02-01-2016 05:00,"6,3",----,"2,3",13,6
02-01-2016 06:00,"5,5",----,"4,7",20,8
02-01-2016 07:00,"0,7",----,"6,8",25,7
02-01-2016 08:00,"3,4",----,"5,6",6,10
02-01-2016 09:00,----,----,6,5,6
02-01-2016 10:00,"12,6",----,5,3,7
02-01-2016 11:00,----,----,"2,8",5,19
02-01-2016 12:00,"10,8",----,"2,1",11,----
02-01-2016 13:00,"10,5",----,"3,2",7,6
02-01-2016 14:00,"3,5",----,"2,8",5,8
02-01-2016 15:00,11,----,"2,2",10,15
02-01-2016 16:00,"5,1",----,"3,7",9,10
02-01-2016 17:00,----,----,"4,6",9,6
02-01-2016 18:00,"5,1",----,"4,7",10,12
02-01-2016 19:00,----,----,"4,6",12,9
02-01-2016 20:00,----,----,"4,3",12,15
02-01-2016 21:00,"6,7",----,"3,5",15,8
02-01-2016 22:00,"3,8",----,"2,9",16,7
02-01-2016 23:00,3,----,"3,9",12,15
02-01-2016 24:00,"0,5",----,"3,6",10,3
03-01-2016 01:00,"3,4",----,"4,5",15,13
03-01-2016 02:00,"12,4",----,"2,4",17,9
03-01-2016 03:00,"2,9",----,"1,8",17,4
03-01-2016 04:00,"12,1",----,2,18,9
03-01-2016 05:00,"4,5",----,"1,3",20,7
03-01-2016 06:00,"12,2",----,"1,4",14,16
03-01-2016 07:00,"4,7",----,"2,9",15,1
03-01-2016 08:00,"5,6",----,"6,5",27,15
03-01-2016 09:00,----,----,"8,5",7,8
03-01-2016 10:00,----,----,"6,7",7,7
03-01-2016 11:00,----,----,"3,5",6,8
03-01-2016 12:00,----,----,"3,3",3,3
03-01-2016 13:00,----,----,"4,4",17,4
03-01-2016 14:00,"24,4",----,"6,1",12,1
03-01-2016 15:00,"19,5",----,"7,8",15,9
03-01-2016 16:00,"3,1",----,"7,6",6,8
03-01-2016 17:00,"7,2",----,"7,4",12,7
03-01-2016 18:00,"9,3",----,"6,2",12,7
03-01-2016 19:00,----,----,"7,2",16,8
03-01-2016 20:00,"1,6",----,"7,6",18,10
03-01-2016 21:00,----,----,"6,2",10,9
03-01-2016 22:00,----,----,"5,8",16,6
03-01-2016 23:00,"5,8",----,"6,2",15,6
03-01-2016 24:00,"9,2",----,"4,9",12,11
04-01-2016 01:00,"12,7",----,"2,8",11,8
04-01-2016 02:00,"8,5",----,"3,3",14,19
04-01-2016 03:00,"8,9",----,"2,3",17,9
04-01-2016 04:00,"10,4",----,3,14,7
04-01-2016 05:00,7,----,4,18,12
04-01-2016 06:00,14,----,"1,7",32,15
04-01-2016 07:00,"9,6",----,"2,7",29,15
04-01-2016 08:00,"20,5",----,7,27,17
04-01-2016 09:00,15,----,"11,3",13,27
04-01-2016 10:00,"17,6",----,"10,6",9,8
04-01-2016 11:00,"15,8",----,7,8,9
04-01-2016 12:00,"20,2",----,5,14,7
04-01-2016 13:00,"31,6",----,"4,8",20,11
04-01-2016 14:00,"32,6",----,"6,4",29,46
04-01-2016 15:00,"24,5",----,"10,2",19,44
04-01-2016 16:00,"31,2",----,"11,2",26,15
04-01-2016 17:00,"3,9",----,"9,3",28,19
04-01-2016 18:00,"20,2",----,8,18,18
04-01-2016 19:00,"15,4",----,"7,3",19,16
04-01-2016 20:00,"12,9",----,"7,5",20,8
04-01-2016 21:00,26,----,"8,8",27,17
04-01-2016 22:00,"30,7",----,"6,3",23,16
04-01-2016 23:00,"40,2",----,"3,9",26,6
04-01-2016 24:00,"22,8",----,"7,2",25,17
05-01-2016 01:00,"36,8",----,"8,6",28,20
05-01-2016 02:00,"14,7",----,"10,2",18,38
05-01-2016 03:00,"15,5",----,"11,3",15,42
05-01-2016 04:00,"13,1",----,"12,8",28,24
05-01-2016 05:00,"20,5",----,"12,3",30,24
05-01-2016 06:00,"26,7",----,"12,7",34,31
05-01-2016 07:00,"52,8",----,16,44,39
05-01-2016 08:00,"54,6",----,18,46,39
05-01-2016 09:00,"49,5",----,"18,5",33,54
05-01-2016 10:00,----,----,22,12,41
05-01-2016 11:00,----,----,"30,2",18,28
05-01-2016 12:00,----,----,"30,3",17,27
05-01-2016 13:00,----,----,"28,8",21,39
05-01-2016 14:00,41,----,"27,8",19,37
05-01-2016 15:00,"41,6",----,"25,5",20,27
05-01-2016 16:00,"23,2",----,"22,9",18,18
05-01-2016 17:00,"22,1",----,"18,4",18,17
05-01-2016 18:00,"9,7",----,"15,6",26,23
05-01-2016 19:00,"9,1",----,"15,9",27,19
05-01-2016 20:00,----,----,17,28,14
05-01-2016 21:00,"11,3",----,"15,7",24,13
05-01-2016 22:00,"14,1",----,"14,3",26,9
05-01-2016 23:00,"19,5",----,"13,4",30,20
05-01-2016 24:00,"14,4",----,"13,8",26,17
06-01-2016 01:00,"9,3",----,"13,2",27,24
06-01-2016 02:00,"19,9",----,"13,6",30,19
06-01-2016 03:00,15,----,"14,7",21,22
06-01-2016 04:00,"18,7",----,"16,8",30,16
06-01-2016 05:00,27,----,"19,4",33,26
06-01-2016 06:00,"17,5",----,21,37,38
06-01-2016 07:00,"26,1",----,"22,4",42,29
06-01-2016 08:00,"18,6",----,"25,1",40,17
06-01-2016 09:00,"22,4",----,"29,9",32,24
06-01-2016 10:00,"29,2",----,"35,1",27,24
06-01-2016 11:00,"27,7",----,"38,5",----,25
06-01-2016 12:00,"18,8",----,"37,9",19,15
06-01-2016 13:00,"14,1",----,----,7,12
06-01-2016 14:00,"13,3",----,----,12,12
06-01-2016 15:00,"13,4",----,"11,8",14,10
06-01-2016 16:00,"12,2",----,"8,8",13,18
06-01-2016 17:00,"17,4",----,"7,9",19,22
06-01-2016 18:00,"25,1",----,"9,3",24,----
06-01-2016 19:00,26,----,"8,9",15,7
06-01-2016 20:00,"6,4",----,"9,9",38,7
06-01-2016 21:00,"19,5",----,"11,2",46,18
06-01-2016 22:00,"29,9",----,"10,6",36,18
06-01-2016 23:00,"17,1",----,"9,2",19,14
06-01-2016 24:00,"13,5",----,"12,4",13,19
07-01-2016 01:00,"10,5",----,"13,1",21,11
07-01-2016 02:00,"13,5",----,"14,6",18,19
07-01-2016 03:00,5,----,"13,2",12,17
07-01-2016 04:00,"9,7",----,"11,6",18,10
07-01-2016 05:00,14,----,"10,2",25,19
07-01-2016 06:00,"11,2",----,"10,2",34,21
07-01-2016 07:00,"18,9",----,11,26,29
07-01-2016 08:00,19,----,"14,5",24,20
07-01-2016 09:00,----,----,"21,8",21,25
07-01-2016 10:00,----,----,27,13,14
07-01-2016 11:00,"20,7",----,"26,2",10,31
07-01-2016 12:00,"22,7",----,"23,5",10,16
07-01-2016 13:00,"23,3",----,"21,8",13,17
07-01-2016 14:00,"33,3",----,"17,8",23,22
07-01-2016 15:00,49,----,"18,1",42,40
07-01-2016 16:00,"50,8",----,"27,9",35,59
07-01-2016 17:00,"44,1",----,"33,2",47,40
07-01-2016 18:00,"50,3",----,"32,5",38,55
07-01-2016 19:00,"39,4",----,"31,9",45,52
07-01-2016 20:00,"39,4",----,"30,4",50,57
07-01-2016 21:00,"41,1",----,"30,7",53,52
07-01-2016 22:00,"42,3",----,"32,3",68,59
07-01-2016 23:00,"41,6",----,"35,4",54,56
07-01-2016 24:00,38,----,"34,7",32,34
08-01-2016 01:00,"22,7",----,"30,5",33,39
08-01-2016 02:00,"32,7",----,27,30,38
08-01-2016 03:00,"25,6",----,"22,2",32,30
08-01-2016 04:00,"23,3",----,"16,4",25,31
08-01-2016 05:00,"28,4",----,"14,5",34,28
08-01-2016 06:00,"22,4",----,"14,6",50,30
08-01-2016 07:00,"29,6",----,"14,2",53,36
08-01-2016 08:00,"27,1",----,16,52,50
08-01-2016 09:00,"23,6",----,"17,6",49,47
08-01-2016 10:00,"27,4",----,"22,5",20,25
08-01-2016 11:00,"28,7",----,"26,7",21,19
08-01-2016 12:00,"29,7",----,"24,5",20,23
08-01-2016 13:00,35,----,"21,6",8,24
08-01-2016 14:00,"37,4",----,23,12,27
08-01-2016 15:00,"35,7",----,"23,8",23,29
08-01-2016 16:00,"22,4",----,"24,2",11,31
08-01-2016 17:00,"29,3",----,"22,6",22,29
08-01-2016 18:00,"32,2",----,"20,4",21,27
08-01-2016 19:00,"24,8",----,"19,2",21,29
08-01-2016 20:00,"15,3",----,"18,4",19,33
08-01-2016 21:00,"16,9",----,"18,6",20,23
08-01-2016 22:00,"12,7",----,21,18,24
08-01-2016 23:00,"18,8",----,"21,1",21,7
08-01-2016 24:00,"18,6",----,"17,7",25,23
09-01-2016 01:00,"13,6",----,"15,9",28,----
09-01-2016 02:00,"14,7",----,"12,5",25,----
09-01-2016 03:00,"14,4",----,"11,3",27,----
09-01-2016 04:00,"22,6",----,"8,5",34,----
09-01-2016 05:00,"23,7",----,"9,6",40,----
09-01-2016 06:00,"32,8",----,"9,8",38,----
09-01-2016 07:00,"34,9",----,"9,4",41,----
09-01-2016 08:00,"32,3",----,"11,1",33,----
09-01-2016 09:00,----,----,"18,4",41,----
09-01-2016 10:00,----,----,"23,2",35,----
09-01-2016 11:00,"35,2",----,"25,9",15,----
09-01-2016 12:00,"31,7",----,"27,4",9,----
09-01-2016 13:00,19,----,25,7,----
09-01-2016 14:00,"41,8",----,24,32,----
09-01-2016 15:00,"37,9",----,"27,5",21,----
09-01-2016 16:00,31,----,"30,9",29,----
09-01-2016 17:00,"19,3",----,"29,8",26,----
09-01-2016 18:00,"30,1",----,"26,9",22,----
09-01-2016 19:00,"18,1",----,"25,8",27,----
09-01-2016 20:00,"19,5",----,"26,1",28,----
09-01-2016 21:00,"17,1",----,"25,4",21,----
09-01-2016 22:00,"15,7",----,23,19,----
09-01-2016 23:00,26,----,"21,1",17,----
09-01-2016 24:00,"12,6",----,"18,5",23,----
10-01-2016 01:00,"16,2",----,"14,1",21,----
10-01-2016 02:00,"12,6",----,"12,6",15,----
10-01-2016 03:00,"17,2",----,"12,3",32,----
10-01-2016 04:00,"17,6",----,"10,7",25,----
10-01-2016 05:00,"22,5",----,"9,5",25,----
10-01-2016 06:00,"14,9",----,"7,3",25,----
10-01-2016 07:00,"23,5",----,"6,8",30,----
10-01-2016 08:00,"28,6",----,"6,7",33,----
10-01-2016 09:00,"26,2",----,"11,6",26,----
10-01-2016 10:00,"46,5",----,"16,9",14,----
10-01-2016 11:00,"24,6",----,"15,5",11,----
10-01-2016 12:00,"27,9",----,"12,9",10,----
10-01-2016 13:00,"23,2",----,13,12,----
10-01-2016 14:00,"37,2",----,"14,2",12,----
10-01-2016 15:00,"21,3",----,"18,1",11,----
10-01-2016 16:00,"26,8",----,"23,3",10,----
10-01-2016 17:00,"19,1",----,"26,6",11,----
10-01-2016 18:00,"23,9",----,"26,1",23,----
10-01-2016 19:00,"17,1",----,"24,8",17,----
10-01-2016 20:00,"5,7",----,"24,4",18,----
10-01-2016 21:00,"9,2",----,"22,1",24,----
10-01-2016 22:00,"8,4",----,"16,4",20,----
10-01-2016 23:00,"12,4",----,11,25,----
10-01-2016 24:00,15,----,"9,2",19,----
11-01-2016 01:00,"11,5",----,----,27,----
11-01-2016 02:00,"15,1",----,----,16,----
11-01-2016 03:00,"20,4",----,----,11,----
11-01-2016 04:00,"22,9",----,----,18,----
11-01-2016 05:00,"19,6",----,----,28,----
11-01-2016 06:00,"13,8",----,----,28,----
11-01-2016 07:00,"30,7",----,----,40,----
11-01-2016 08:00,"19,4",----,----,28,----
11-01-2016 09:00,"25,5",----,----,21,----
11-01-2016 10:00,"42,4",----,----,21,----
