DateTime,MinAmbiente,Movil 7ma,Tunal
01-01-2016 01:00,11,10,52
01-01-2016 02:00,11,8,23
01-01-2016 03:00,19,10,8
01-01-2016 04:00,11,7,4
01-01-2016 05:00,7,4,3
01-01-2016 06:00,5,8,6
01-01-2016 07:00,7,9,5
01-01-2016 08:00,6,7,4
01-01-2016 09:00,3,6,5
01-01-2016 10:00,0,8,8
01-01-2016 11:00,0,7,9
01-01-2016 12:00,2,2,4
01-01-2016 13:00,7,4,----
01-01-2016 14:00,5,5,----
01-01-2016 15:00,4,4,25
01-01-2016 16:00,6,7,25
01-01-2016 17:00,8,11,25
01-01-2016 18:00,8,9,10
01-01-2016 19:00,10,7,8
01-01-2016 20:00,7,11,10
01-01-2016 21:00,12,8,----
01-01-2016 22:00,21,10,13
01-01-2016 23:00,8,9,20
01-01-2016 24:00,6,7,11
02-01-2016 01:00,4,7,7
02-01-2016 02:00,6,6,18
02-01-2016 03:00,4,9,9
02-01-2016 04:00,5,2,8
02-01-2016 05:00,4,----,8
02-01-2016 06:00,10,0,18
02-01-2016 07:00,10,23,12
02-01-2016 08:00,15,23,13
02-01-2016 09:00,4,8,----
02-01-2016 10:00,3,6,23
02-01-2016 11:00,3,5,----
02-01-2016 12:00,5,5,22
02-01-2016 13:00,2,7,16
02-01-2016 14:00,1,9,----
02-01-2016 15:00,4,10,18
02-01-2016 16:00,5,16,24
02-01-2016 17:00,5,3,7
02-01-2016 18:00,4,4,9
02-01-2016 19:00,4,16,13
02-01-2016 20:00,12,5,----
02-01-2016 21:00,11,7,11
02-01-2016 22:00,8,11,10
02-01-2016 23:00,13,12,11
02-01-2016 24:00,10,8,13
03-01-2016 01:00,7,8,9
03-01-2016 02:00,4,11,6
03-01-2016 03:00,3,8,9
03-01-2016 04:00,6,9,6
03-01-2016 05:00,5,12,7
03-01-2016 06:00,6,18,13
03-01-2016 07:00,9,22,38
03-01-2016 08:00,10,17,23
03-01-2016 09:00,11,13,----
03-01-2016 10:00,6,8,12
03-01-2016 11:00,6,6,17
03-01-2016 12:00,8,16,23
03-01-2016 13:00,24,34,29
03-01-2016 14:00,11,23,20
03-01-2016 15:00,8,10,21
03-01-2016 16:00,15,9,24
03-01-2016 17:00,4,20,27
03-01-2016 18:00,10,6,12
03-01-2016 19:00,14,8,16
03-01-2016 20:00,11,17,4
03-01-2016 21:00,10,4,7
03-01-2016 22:00,16,8,8
03-01-2016 23:00,13,12,8
03-01-2016 24:00,7,11,16
04-01-2016 01:00,19,6,9
04-01-2016 02:00,10,4,11
04-01-2016 03:00,7,9,12
04-01-2016 04:00,5,11,10
04-01-2016 05:00,7,9,18
04-01-2016 06:00,8,29,22
04-01-2016 07:00,13,31,30
04-01-2016 08:00,32,38,19
04-01-2016 09:00,30,50,----
04-01-2016 10:00,23,44,24
04-01-2016 11:00,10,16,18
04-01-2016 12:00,14,20,21
04-01-2016 13:00,39,35,43
04-01-2016 14:00,36,52,45
04-01-2016 15:00,27,58,34
04-01-2016 16:00,34,65,27
04-01-2016 17:00,20,20,51
04-01-2016 18:00,29,27,23
04-01-2016 19:00,32,43,25
04-01-2016 20:00,28,44,18
04-01-2016 21:00,24,39,25
04-01-2016 22:00,26,34,29
04-01-2016 23:00,28,34,10
04-01-2016 24:00,18,30,11
05-01-2016 01:00,21,28,12
05-01-2016 02:00,26,27,11
05-01-2016 03:00,24,25,12
05-01-2016 04:00,21,21,22
05-01-2016 05:00,26,27,27
05-01-2016 06:00,47,46,26
05-01-2016 07:00,54,66,35
05-01-2016 08:00,34,86,27
05-01-2016 09:00,52,72,33
05-01-2016 10:00,45,57,76
05-01-2016 11:00,35,47,62
05-01-2016 12:00,34,34,60
05-01-2016 13:00,44,50,51
05-01-2016 14:00,31,39,19
05-01-2016 15:00,38,40,37
05-01-2016 16:00,21,36,36
05-01-2016 17:00,14,29,31
05-01-2016 18:00,11,36,27
05-01-2016 19:00,16,16,37
05-01-2016 20:00,29,29,23
05-01-2016 21:00,21,18,26
05-01-2016 22:00,19,16,30
05-01-2016 23:00,18,17,14
05-01-2016 24:00,20,26,30
06-01-2016 01:00,17,11,30
06-01-2016 02:00,23,20,24
06-01-2016 03:00,23,15,23
06-01-2016 04:00,20,22,19
06-01-2016 05:00,21,16,20
06-01-2016 06:00,34,42,44
06-01-2016 07:00,35,51,50
06-01-2016 08:00,51,51,51
06-01-2016 09:00,53,70,64
06-01-2016 10:00,54,62,65
06-01-2016 11:00,28,50,75
06-01-2016 12:00,12,23,27
06-01-2016 13:00,21,27,18
06-01-2016 14:00,13,30,----
06-01-2016 15:00,14,21,27
06-01-2016 16:00,14,20,36
06-01-2016 17:00,11,23,21
06-01-2016 18:00,16,24,18
06-01-2016 19:00,16,14,23
06-01-2016 20:00,17,19,34
06-01-2016 21:00,12,18,30
06-01-2016 22:00,13,12,26
06-01-2016 23:00,22,27,13
06-01-2016 24:00,35,31,----
07-01-2016 01:00,26,31,9
07-01-2016 02:00,16,11,15
07-01-2016 03:00,15,15,26
07-01-2016 04:00,16,15,----
07-01-2016 05:00,24,25,32
07-01-2016 06:00,20,26,61
07-01-2016 07:00,35,63,59
07-01-2016 08:00,43,65,57
07-01-2016 09:00,42,48,56
07-01-2016 10:00,34,38,70
07-01-2016 11:00,25,39,55
07-01-2016 12:00,27,35,52
07-01-2016 13:00,29,27,48
07-01-2016 14:00,34,36,64
07-01-2016 15:00,56,79,68
07-01-2016 16:00,61,62,69
07-01-2016 17:00,51,64,53
07-01-2016 18:00,52,60,64
07-01-2016 19:00,54,65,67
07-01-2016 20:00,54,64,80
07-01-2016 21:00,56,53,78
07-01-2016 22:00,52,48,82
07-01-2016 23:00,51,59,73
07-01-2016 24:00,48,47,49
08-01-2016 01:00,41,46,68
08-01-2016 02:00,36,31,35
08-01-2016 03:00,33,29,22
08-01-2016 04:00,31,26,30
08-01-2016 05:00,23,30,30
08-01-2016 06:00,31,33,48
08-01-2016 07:00,34,64,64
08-01-2016 08:00,28,57,81
08-01-2016 09:00,34,66,93
08-01-2016 10:00,42,53,98
08-01-2016 11:00,34,38,56
08-01-2016 12:00,33,34,36
08-01-2016 13:00,39,41,42
08-01-2016 14:00,36,40,47
08-01-2016 15:00,30,46,48
08-01-2016 16:00,32,49,48
08-01-2016 17:00,34,46,42
08-01-2016 18:00,33,55,39
08-01-2016 19:00,40,45,46
08-01-2016 20:00,32,36,52
08-01-2016 21:00,27,35,50
08-01-2016 22:00,21,25,26
08-01-2016 23:00,28,16,37
08-01-2016 24:00,21,21,35
09-01-2016 01:00,21,19,31
09-01-2016 02:00,18,17,13
09-01-2016 03:00,18,15,22
09-01-2016 04:00,22,17,39
09-01-2016 05:00,17,21,28
09-01-2016 06:00,17,32,----
09-01-2016 07:00,21,56,31
09-01-2016 08:00,28,49,47
09-01-2016 09:00,54,72,73
09-01-2016 10:00,60,72,60
09-01-2016 11:00,41,54,54
09-01-2016 12:00,28,24,61
09-01-2016 13:00,30,26,53
09-01-2016 14:00,41,49,56
09-01-2016 15:00,46,38,41
09-01-2016 16:00,36,54,50
09-01-2016 17:00,35,44,45
09-01-2016 18:00,28,39,46
09-01-2016 19:00,33,37,57
09-01-2016 20:00,38,42,56
09-01-2016 21:00,38,38,49
09-01-2016 22:00,37,32,48
09-01-2016 23:00,23,22,34
09-01-2016 24:00,21,29,40
10-01-2016 01:00,17,13,34
10-01-2016 02:00,22,18,37
10-01-2016 03:00,16,21,37
10-01-2016 04:00,17,17,33
10-01-2016 05:00,22,18,24
10-01-2016 06:00,22,34,----
10-01-2016 07:00,22,35,16
10-01-2016 08:00,23,40,----
10-01-2016 09:00,36,50,30
10-01-2016 10:00,47,37,39
10-01-2016 11:00,32,33,27
10-01-2016 12:00,25,23,27
10-01-2016 13:00,30,33,18
10-01-2016 14:00,33,31,35
10-01-2016 15:00,26,28,32
10-01-2016 16:00,31,34,29
10-01-2016 17:00,32,28,31
10-01-2016 18:00,25,24,37
10-01-2016 19:00,24,32,31
10-01-2016 20:00,23,28,38
10-01-2016 21:00,25,24,30
10-01-2016 22:00,16,20,31
10-01-2016 23:00,17,20,32
10-01-2016 24:00,17,18,28
11-01-2016 01:00,16,18,29
11-01-2016 02:00,14,24,36
11-01-2016 03:00,12,12,24
11-01-2016 04:00,14,10,18
11-01-2016 05:00,14,12,----
11-01-2016 06:00,16,33,42
11-01-2016 07:00,23,38,34
11-01-2016 08:00,24,36,51
11-01-2016 09:00,41,45,43
11-01-2016 10:00,40,45,35
11-01-2016 11:00,24,28,40
11-01-2016 12:00,32,30,27
11-01-2016 13:00,38,43,44
11-01-2016 14:00,37,48,53
11-01-2016 15:00,35,53,48
11-01-2016 16:00,35,35,44
11-01-2016 17:00,33,39,47
11-01-2016 18:00,25,29,37
11-01-2016 19:00,33,34,35
11-01-2016 20:00,36,34,36
11-01-2016 21:00,30,35,38
11-01-2016 22:00,32,24,31
11-01-2016 23:00,27,16,28
11-01-2016 24:00,21,21,22
12-01-2016 01:00,21,23,33
12-01-2016 02:00,22,12,24
12-01-2016 03:00,21,23,----
12-01-2016 04:00,19,15,36
12-01-2016 05:00,21,25,39
12-01-2016 06:00,30,38,45
12-01-2016 07:00,26,66,44
12-01-2016 08:00,29,51,42
12-01-2016 09:00,30,51,32
12-01-2016 10:00,34,59,33
12-01-2016 11:00,32,40,64
12-01-2016 12:00,29,44,44
12-01-2016 13:00,35,41,59
12-01-2016 14:00,40,40,63
12-01-2016 15:00,41,52,48
12-01-2016 16:00,45,49,45
12-01-2016 17:00,37,62,46
12-01-2016 18:00,44,62,49
12-01-2016 19:00,38,49,50
12-01-2016 20:00,41,46,49
12-01-2016 21:00,44,42,65
12-01-2016 22:00,38,40,54
12-01-2016 23:00,29,34,60
12-01-2016 24:00,29,25,64
13-01-2016 01:00,27,27,42
13-01-2016 02:00,33,23,42
13-01-2016 03:00,28,24,54
13-01-2016 04:00,32,31,48
13-01-2016 05:00,31,42,44
13-01-2016 06:00,31,47,39
13-01-2016 07:00,37,75,33
13-01-2016 08:00,29,80,47
13-01-2016 09:00,52,91,52
13-01-2016 10:00,29,71,48
13-01-2016 11:00,46,43,----
13-01-2016 12:00,38,36,45
13-01-2016 13:00,43,58,58
13-01-2016 14:00,46,55,67
13-01-2016 15:00,46,47,41
13-01-2016 16:00,42,62,37
13-01-2016 17:00,41,50,44
13-01-2016 18:00,26,54,44
13-01-2016 19:00,53,50,43
13-01-2016 20:00,40,38,49
13-01-2016 21:00,23,36,31
13-01-2016 22:00,22,42,32
13-01-2016 23:00,29,37,36
13-01-2016 24:00,31,49,27
14-01-2016 01:00,34,45,37
14-01-2016 02:00,36,51,32
14-01-2016 03:00,40,39,27
14-01-2016 04:00,42,47,30
14-01-2016 05:00,35,51,38
14-01-2016 06:00,40,77,47
14-01-2016 07:00,56,66,38
14-01-2016 08:00,52,77,60
14-01-2016 09:00,74,77,55
14-01-2016 10:00,99,80,70
14-01-2016 11:00,72,71,54
14-01-2016 12:00,61,60,75
14-01-2016 13:00,61,75,48
14-01-2016 14:00,48,59,43
14-01-2016 15:00,36,44,32
14-01-2016 16:00,31,40,46
14-01-2016 17:00,40,44,38
14-01-2016 18:00,39,50,35
14-01-2016 19:00,44,47,49
14-01-2016 20:00,32,53,47
14-01-2016 21:00,17,59,43
14-01-2016 22:00,21,44,34
14-01-2016 23:00,22,36,31
14-01-2016 24:00,18,31,30
15-01-2016 01:00,19,27,24
15-01-2016 02:00,16,16,11
15-01-2016 03:00,19,25,17
15-01-2016 04:00,22,34,19
15-01-2016 05:00,33,31,31
15-01-2016 06:00,40,74,26
15-01-2016 07:00,46,91,32
15-01-2016 08:00,43,98,49
15-01-2016 09:00,89,123,119
15-01-2016 10:00,84,93,124
15-01-2016 11:00,73,89,81
15-01-2016 12:00,48,54,66
15-01-2016 13:00,25,29,18
15-01-2016 14:00,16,20,----
15-01-2016 15:00,10,24,13
15-01-2016 16:00,11,31,12
15-01-2016 17:00,45,45,51
15-01-2016 18:00,39,52,52
15-01-2016 19:00,47,46,68
15-01-2016 20:00,46,50,71
15-01-2016 21:00,21,50,39
15-01-2016 22:00,15,22,27
15-01-2016 23:00,13,28,23
15-01-2016 24:00,12,36,18
16-01-2016 01:00,7,8,23
16-01-2016 02:00,7,10,20
16-01-2016 03:00,8,9,----
16-01-2016 04:00,11,16,17
16-01-2016 05:00,10,27,9
16-01-2016 06:00,9,50,29
16-01-2016 07:00,17,78,32
16-01-2016 08:00,17,69,49
16-01-2016 09:00,40,79,68
16-01-2016 10:00,39,50,71
16-01-2016 11:00,48,60,82
16-01-2016 12:00,42,45,46
16-01-2016 13:00,19,31,14
16-01-2016 14:00,29,15,16
16-01-2016 15:00,12,30,35
16-01-2016 16:00,38,43,46
16-01-2016 17:00,31,40,33
16-01-2016 18:00,30,39,44
16-01-2016 19:00,33,33,39
16-01-2016 20:00,0,37,54
16-01-2016 21:00,19,16,22
16-01-2016 22:00,16,36,20
16-01-2016 23:00,22,33,22
16-01-2016 24:00,19,31,13
17-01-2016 01:00,26,30,16
17-01-2016 02:00,35,34,17
17-01-2016 03:00,23,36,16
17-01-2016 04:00,26,29,----
17-01-2016 05:00,14,28,----
17-01-2016 06:00,17,33,17
17-01-2016 07:00,18,49,20
17-01-2016 08:00,25,48,35
