 Fecha y Hora              , Carvajal - Sevillana , Centro de Alto Rendimiento , Fontibon , Guaymaral , Kennedy  , Las Ferias , MinAmbiente , Puente Aranda , San Cristobal , Suba     , Tunal    , Usaquen 
 01-01-2013 01:00           ,,17,0,,,,,,,,,
 01-01-2013 02:00           ,,33,7,,,104,3,,,,,
 01-01-2013 03:00           ,,20,1,,,129,0,,,,,
 01-01-2013 04:00           ,,19,0,,,94,0,,,,,
 01-01-2013 05:00           ,,28,0,,,,,,,,,
 01-01-2013 06:00           ,,19,7,,,33,1,,,,,
 01-01-2013 07:00           ,,14,2,,,32,5,,,,,
 01-01-2013 08:00           ,,,,,22,8,,,,,,
 01-01-2013 09:00           ,,,,,11,5,,,,,,
 01-01-2013 10:00          ,,7,4,,,9,0,,,,,
 01-01-2013 11:00          ,,,,,,,,,,,,
 01-01-2013 12:00          ,,,,,,,,,,,,
 01-01-2013 13:00          ,,13,2,,,6,3,,,,,
 01-01-2013 14:00          ,,4,9,,,13,3,,,,,
 01-01-2013 15:00          ,,12,3,,,16,5,,,,,
 01-01-2013 16:00          ,,,,,23,5,,,,,,
 01-01-2013 17:00          ,,9,7,,,19,8,,,,,
 01-01-2013 18:00          ,,12,5,,,14,1,,,,,
 01-01-2013 19:00          ,,9,9,,,14,6,,,,,
 01-01-2013 20:00          ,,7,3,,,14,1,,,,,
 01-01-2013 21:00          ,,5,8,,,19,6,,,,,
 01-01-2013 22:00          ,,,,,17,6,,,,,,
 01-01-2013 23:00          ,,8,7,,,14,8,,,,,
 01-01-2013 00:00          ,,8,7,,,8,8,,,,,
 02-01-2013 01:00           ,,8,9,,,7,8,,,,,
 02-01-2013 02:00           ,,15,0,,,7,3,,,,,
 02-01-2013 03:00           ,,4,8,,,10,5,,,,,
 02-01-2013 04:00           ,,4,5,,,17,1,,,,,
 02-01-2013 05:00           ,,10,7,,,15,1,,,,,
 02-01-2013 06:00           ,,8,6,,,27,8,,,,,
 02-01-2013 07:00           ,,12,9,,,37,3,,,,,
 02-01-2013 08:00           ,,,,,41,5,,,,,,
 02-01-2013 09:00           ,,19,0,,,54,0,,,,,
 02-01-2013 10:00          ,,11,9,,,,,,,,,
 02-01-2013 11:00          ,,,,,19,1,,,,,,
 02-01-2013 12:00          ,,5,2,,,4,8,,,,,
 02-01-2013 13:00          ,,8,9,,,4,5,,,,,
 02-01-2013 14:00          ,,8,8,,,7,0,,,,,
 02-01-2013 15:00          ,,8,7,,,7,0,,,,,
 02-01-2013 16:00          ,,,,,7,3,,,,,,
 02-01-2013 17:00          ,,16,7,,,10,3,,,,,
 02-01-2013 18:00          ,,8,9,,,16,3,,,,,
 02-01-2013 19:00          ,,10,6,,,14,0,,,,,
 02-01-2013 20:00          ,,10,6,,,20,0,,,,,
 02-01-2013 21:00          ,,13,1,,,24,6,,,,,
 02-01-2013 22:00          ,,18,0,,,23,3,,,,,
 02-01-2013 23:00          ,,23,7,,,25,1,,,,,
 02-01-2013 00:00          ,,20,3,,,26,0,,,,,
 03-01-2013 01:00           ,,26,0,,,,,,,,,
 03-01-2013 02:00           ,,18,0,,,,,,,,,
 03-01-2013 03:00           ,,17,6,,,15,8,,,,,
 03-01-2013 04:00           ,,16,1,,,11,8,,,,,
 03-01-2013 05:00           ,,15,1,,,24,1,,,,,
 03-01-2013 06:00           ,,17,5,,,38,8,,,,,
 03-01-2013 07:00           ,,17,4,,,39,5,,,,,
 03-01-2013 08:00           ,,16,2,,,65,5,,,,,
 03-01-2013 09:00           ,,10,8,,,33,0,,,,,
 03-01-2013 10:00          ,,18,2,,,,,,,,,
 03-01-2013 11:00          ,,14,0,,,23,3,,,,,
 03-01-2013 12:00          ,,16,7,,,19,0,,,,,
 03-01-2013 13:00          ,,3,3,,,13,6,,,,,
 03-01-2013 14:00          ,,4,7,,,12,0,,,,,
 03-01-2013 15:00          ,,13,6,,,12,0,,,,,
 03-01-2013 16:00          ,,13,7,,,,,,,,,
 03-01-2013 17:00          ,,15,5,,,16,3,,,,,
