DateTime,Carvajal - Sevillana,Centro de Alto Rendimiento,Fontibon,Guaymaral,Kennedy
01-01-2013 01:00,----,"17,1",----,----,----
01-01-2013 02:00,----,"33,8",----,----,"104,3"
01-01-2013 03:00,----,"20,2",----,----,129
01-01-2013 04:00,----,"19,1",----,----,94
01-01-2013 05:00,----,28,----,----,----
01-01-2013 06:00,----,"19,7",----,----,"33,2"
01-01-2013 07:00,----,"14,3",----,----,"32,5"
01-01-2013 08:00,----,----,----,----,"22,8"
01-01-2013 09:00,----,----,----,----,"11,5"
01-01-2013 10:00,----,"7,5",----,----,9
01-01-2013 11:00,----,----,----,----,----
01-01-2013 12:00,----,----,----,----,----
01-01-2013 13:00,----,"13,3",----,----,"6,3"
01-01-2013 14:00,----,"4,9",----,----,"13,3"
01-01-2013 15:00,----,"12,4",----,----,"16,5"
01-01-2013 16:00,----,----,----,----,"23,5"
01-01-2013 17:00,----,"9,8",----,----,"19,8"
01-01-2013 18:00,----,"12,5",----,----,"14,2"
01-01-2013 19:00,----,"9,9",----,----,"14,7"
01-01-2013 20:00,----,"7,4",----,----,"14,2"
01-01-2013 21:00,----,"5,8",----,----,"19,7"
01-01-2013 22:00,----,----,----,----,"17,7"
01-01-2013 23:00,----,"8,7",----,----,"14,8"
01-01-2013 24:00,----,"8,7",----,----,"8,8"
02-01-2013 01:00,----,9,----,----,"7,8"
02-01-2013 02:00,----,15,----,----,"7,3"
02-01-2013 03:00,----,"4,8",----,----,"10,5"
02-01-2013 04:00,----,"4,6",----,----,"17,2"
02-01-2013 05:00,----,"10,7",----,----,"15,2"
02-01-2013 06:00,----,"8,7",----,----,"27,8"
02-01-2013 07:00,----,"12,9",----,----,"37,3"
02-01-2013 08:00,----,----,----,----,"41,5"
02-01-2013 09:00,----,19,----,----,54
02-01-2013 10:00,----,"11,9",----,----,----
02-01-2013 11:00,----,----,----,----,"19,2"
02-01-2013 12:00,----,"5,3",----,----,"4,8"
02-01-2013 13:00,----,"8,9",----,----,"4,5"
02-01-2013 14:00,----,"8,9",----,----,7
02-01-2013 15:00,----,"8,7",----,----,7
02-01-2013 16:00,----,----,----,----,"7,3"
02-01-2013 17:00,----,"16,7",----,----,"10,3"
02-01-2013 18:00,----,9,----,----,"16,3"
02-01-2013 19:00,----,"10,7",----,----,14
02-01-2013 20:00,----,"10,6",----,----,20
02-01-2013 21:00,----,"13,1",----,----,"24,7"
02-01-2013 22:00,----,18,----,----,"23,3"
02-01-2013 23:00,----,"23,8",----,----,"25,2"
02-01-2013 24:00,----,"20,3",----,----,26
03-01-2013 01:00,----,26,----,----,----
03-01-2013 02:00,----,"18,1",----,----,----
03-01-2013 03:00,----,"17,6",----,----,"15,8"
03-01-2013 04:00,----,"16,2",----,----,"11,8"
03-01-2013 05:00,----,"15,2",----,----,"24,2"
03-01-2013 06:00,----,"17,5",----,----,"38,8"
03-01-2013 07:00,----,"17,4",----,----,"39,5"
03-01-2013 08:00,----,"16,2",----,----,"65,5"
03-01-2013 09:00,----,"10,9",----,----,33
03-01-2013 10:00,----,"18,2",----,----,----
03-01-2013 11:00,----,14,----,----,"23,3"
03-01-2013 12:00,----,"16,8",----,----,19
03-01-2013 13:00,----,"3,4",----,----,"13,7"
03-01-2013 14:00,----,"4,7",----,----,12
03-01-2013 15:00,----,"13,7",----,----,12
03-01-2013 16:00,----,"13,8",----,----,----
03-01-2013 17:00,----,"15,5",----,----,"16,3"
03-01-2013 18:00,----,"11,5",----,----,"21,5"
03-01-2013 19:00,----,"23,7",----,----,"15,5"
03-01-2013 20:00,----,"19,5",----,----,"23,5"
03-01-2013 21:00,----,"18,9",----,----,"31,3"
03-01-2013 22:00,----,----,----,----,"52,2"
03-01-2013 23:00,----,"10,2",----,----,"21,5"
03-01-2013 24:00,----,"14,9",----,----,"16,2"
04-01-2013 01:00,----,"24,2",----,----,"27,7"
04-01-2013 02:00,----,"18,5",----,----,"30,3"
04-01-2013 03:00,----,"10,1",----,----,"28,2"
04-01-2013 04:00,----,"13,6",----,----,"32,5"
04-01-2013 05:00,----,"15,7",----,----,"27,3"
04-01-2013 06:00,----,"10,4",----,----,"39,5"
04-01-2013 07:00,----,24,----,----,"44,2"
04-01-2013 08:00,----,"29,4",----,----,"55,7"
04-01-2013 09:00,----,"22,7",----,----,53
04-01-2013 10:00,----,"13,4",----,----,22
04-01-2013 11:00,----,"16,3",----,----,"15,5"
04-01-2013 12:00,----,"11,6",----,----,"8,3"
04-01-2013 13:00,----,----,----,----,"9,7"
04-01-2013 14:00,----,"5,7",----,----,"7,7"
04-01-2013 15:00,----,"8,5",----,----,6
04-01-2013 16:00,----,"5,9",----,----,"6,5"
04-01-2013 17:00,----,"13,4",----,----,"9,3"
04-01-2013 18:00,----,"15,1",----,----,"13,3"
04-01-2013 19:00,----,"15,4",----,----,"25,2"
04-01-2013 20:00,----,"18,8",----,----,"24,7"
04-01-2013 21:00,----,18,----,----,"18,7"
04-01-2013 22:00,----,"18,5",----,----,"21,8"
04-01-2013 23:00,----,"8,4",----,----,20
04-01-2013 24:00,----,20,----,----,"14,3"
05-01-2013 01:00,----,"6,2",----,----,"12,3"
05-01-2013 02:00,----,"21,3",----,----,"18,5"
05-01-2013 03:00,----,"17,4",----,----,"16,3"
05-01-2013 04:00,----,"14,7",----,----,"20,3"
05-01-2013 05:00,----,"8,5",----,----,32
05-01-2013 06:00,----,"9,1",----,----,32
05-01-2013 07:00,----,15,----,----,"32,7"
05-01-2013 08:00,----,"17,8",----,----,37
05-01-2013 09:00,----,----,----,----,"40,7"
05-01-2013 10:00,----,"15,8",----,----,"30,3"
05-01-2013 11:00,----,"9,7",----,----,"12,2"
05-01-2013 12:00,----,----,----,----,"13,2"
05-01-2013 13:00,----,"10,4",----,----,14
05-01-2013 14:00,----,"7,5",----,----,14
05-01-2013 15:00,----,"10,3",----,----,"13,5"
05-01-2013 16:00,----,"11,8",----,----,"10,3"
05-01-2013 17:00,----,----,----,----,"7,2"
05-01-2013 18:00,----,"12,4",----,----,"9,5"
05-01-2013 19:00,----,"15,8",----,----,"17,5"
05-01-2013 20:00,----,"4,9",----,----,"20,2"
05-01-2013 21:00,----,----,----,----,"21,8"
05-01-2013 22:00,----,----,----,----,"25,7"
05-01-2013 23:00,----,----,----,----,"23,8"
05-01-2013 24:00,----,----,----,----,"21,5"
06-01-2013 01:00,----,----,----,----,"13,8"
06-01-2013 02:00,----,----,----,----,"13,2"
06-01-2013 03:00,----,"1,6",----,----,"14,8"
06-01-2013 04:00,----,----,----,----,20
06-01-2013 05:00,----,"3,1",----,----,"25,7"
06-01-2013 06:00,----,"3,3",----,----,"29,7"
06-01-2013 07:00,----,"8,4",----,----,"35,3"
06-01-2013 08:00,----,----,----,----,"45,7"
06-01-2013 09:00,----,"18,2",----,----,"37,7"
06-01-2013 10:00,----,"7,7",----,----,27
06-01-2013 11:00,----,----,----,----,"6,7"
06-01-2013 12:00,----,----,----,----,"5,3"
06-01-2013 13:00,----,----,----,----,"7,2"
06-01-2013 14:00,----,----,----,----,8
06-01-2013 15:00,----,----,----,----,"8,3"
06-01-2013 16:00,----,----,----,----,"9,7"
06-01-2013 17:00,----,"8,5",----,----,"8,5"
06-01-2013 18:00,----,----,----,----,"11,5"
06-01-2013 19:00,----,"9,1",----,----,"14,7"
06-01-2013 20:00,----,"7,2",----,----,"18,8"
06-01-2013 21:00,----,----,----,----,"23,2"
06-01-2013 22:00,----,"8,5",----,----,24
06-01-2013 23:00,----,----,----,----,23
06-01-2013 24:00,----,11,----,----,"16,8"
07-01-2013 01:00,----,"10,7",----,----,"11,2"
07-01-2013 02:00,----,"9,8",----,----,"13,3"
07-01-2013 03:00,----,13,----,----,"18,8"
07-01-2013 04:00,----,"7,2",----,----,"14,3"
07-01-2013 05:00,----,"12,7",----,----,"21,7"
07-01-2013 06:00,----,"13,4",----,----,"25,3"
07-01-2013 07:00,----,"8,7",----,----,"28,8"
07-01-2013 08:00,----,----,----,----,"39,2"
07-01-2013 09:00,----,"11,2",----,----,"44,5"
07-01-2013 10:00,----,"15,1",----,----,"39,5"
07-01-2013 11:00,----,"6,9",----,----,"23,3"
