DateTime,Las Ferias,Puente Aranda,San Cristobal,Suba,Usaquen
01-01-2014 01:00,----,----,----,----,"3,8"
01-01-2014 02:00,----,----,----,----,"6,3"
01-01-2014 03:00,"22,5",----,----,----,"5,1"
01-01-2014 04:00,"21,1",----,----,----,"3,5"
01-01-2014 05:00,5,----,----,----,3
01-01-2014 06:00,"21,8",----,----,----,3
01-01-2014 07:00,"15,8",----,----,----,"2,9"
01-01-2014 08:00,"4,3",----,----,----,----
01-01-2014 09:00,----,----,----,----,----
01-01-2014 10:00,----,----,----,----,"10,9"
01-01-2014 11:00,"8,6",----,----,----,"8,6"
01-01-2014 12:00,"6,7",----,----,----,----
01-01-2014 13:00,"12,9",----,----,----,"3,6"
01-01-2014 14:00,"10,1",----,----,----,----
01-01-2014 15:00,"10,9",----,----,----,"2,8"
01-01-2014 16:00,"6,2",----,----,----,"1,8"
01-01-2014 17:00,"14,9",----,----,----,"3,5"
01-01-2014 18:00,"9,4",----,----,----,4
01-01-2014 19:00,"10,1",----,----,----,"5,2"
01-01-2014 20:00,"7,8",----,----,----,"3,9"
01-01-2014 21:00,"11,2",----,----,----,"2,5"
01-01-2014 22:00,"11,1",----,----,----,"3,8"
01-01-2014 23:00,"6,8",----,----,----,"3,4"
01-01-2014 24:00,"8,1",----,----,----,"5,1"
02-01-2014 01:00,"7,1",----,----,----,"2,3"
02-01-2014 02:00,"9,9",----,----,----,"7,5"
02-01-2014 03:00,"7,6",----,----,----,"7,8"
02-01-2014 04:00,"10,1",----,----,----,3
02-01-2014 05:00,10,----,----,----,"2,8"
02-01-2014 06:00,"9,5",----,----,----,"9,1"
02-01-2014 07:00,"11,9",----,----,----,"9,3"
02-01-2014 08:00,"10,3",----,----,----,"2,1"
02-01-2014 09:00,----,----,----,----,"4,7"
02-01-2014 10:00,"9,2",----,----,----,"4,6"
02-01-2014 11:00,"11,8",----,----,----,"6,7"
02-01-2014 12:00,10,----,----,----,"3,3"
02-01-2014 13:00,"5,3",----,----,----,"3,8"
02-01-2014 14:00,"28,7",----,----,----,"8,8"
02-01-2014 15:00,"19,9",----,----,----,"2,9"
02-01-2014 16:00,"9,5",----,----,----,"14,8"
02-01-2014 17:00,"7,8",----,----,----,"20,9"
02-01-2014 18:00,"11,9",----,----,----,"8,4"
02-01-2014 19:00,"16,6",----,----,----,"18,6"
02-01-2014 20:00,"8,3",----,----,----,"14,4"
02-01-2014 21:00,"7,9",----,----,----,"9,7"
02-01-2014 22:00,"8,5",----,----,----,"3,2"
02-01-2014 23:00,"7,1",----,----,----,3
02-01-2014 24:00,"3,4",----,----,----,"2,6"
03-01-2014 01:00,----,----,----,----,4
03-01-2014 02:00,"6,4",----,----,----,"0,9"
03-01-2014 03:00,"8,6",----,----,----,"1,3"
03-01-2014 04:00,"18,1",----,----,----,"2,6"
03-01-2014 05:00,"7,9",----,----,----,"4,9"
03-01-2014 06:00,"9,2",----,----,----,"6,3"
03-01-2014 07:00,"14,2",----,----,----,"2,3"
03-01-2014 08:00,"14,9",----,----,----,"9,2"
03-01-2014 09:00,10,----,----,----,"4,1"
03-01-2014 10:00,"7,8",----,----,----,----
03-01-2014 11:00,----,----,----,----,"3,9"
03-01-2014 12:00,"8,8",----,----,----,"5,9"
03-01-2014 13:00,"7,3",----,----,----,"6,4"
03-01-2014 14:00,15,----,----,----,"8,3"
03-01-2014 15:00,11,----,----,----,"3,9"
03-01-2014 16:00,"6,7",----,----,----,"4,5"
03-01-2014 17:00,10,----,----,----,"3,2"
03-01-2014 18:00,"6,8",----,----,----,"10,1"
