DateTime,Las Ferias,Puente Aranda,San Cristobal,Suba,Usaquen
01-01-2017 01:00,----,"7,4","14,8",42,8
01-01-2017 02:00,----,6,"18,5",34,7
01-01-2017 03:00,----,10,"15,1",36,5
01-01-2017 04:00,----,"11,5","10,4",24,12
01-01-2017 05:00,----,"8,2","7,6",10,8
01-01-2017 06:00,----,"7,2","5,6",17,6
01-01-2017 07:00,----,"7,3","5,8",21,4
01-01-2017 08:00,----,"5,4","4,5",18,19
01-01-2017 09:00,----,"2,7","1,1",4,14
01-01-2017 10:00,----,"1,5",0,2,7
01-01-2017 11:00,----,"0,8",0,1,6
01-01-2017 12:00,----,"0,1",0,4,3
01-01-2017 13:00,----,"0,4",0,3,0
01-01-2017 14:00,----,0,0,2,6
01-01-2017 15:00,----,0,0,3,10
01-01-2017 16:00,----,"0,6",0,5,6
01-01-2017 17:00,----,"3,6","2,8",6,8
01-01-2017 18:00,----,"6,1","9,2",6,6
01-01-2017 19:00,----,"8,1","11,4",9,1
01-01-2017 20:00,----,"8,2","12,6",12,1
01-01-2017 21:00,----,"8,1","9,5",8,1
01-01-2017 22:00,----,"7,7",9,6,0
01-01-2017 23:00,----,"7,1","7,9",9,6
01-01-2017 24:00,----,"6,4","5,8",8,12
02-01-2017 01:00,----,"3,7","3,9",7,9
02-01-2017 02:00,----,"1,7","3,1",9,9
02-01-2017 03:00,----,1,"2,3",10,7
02-01-2017 04:00,----,"0,8","2,4",8,8
02-01-2017 05:00,----,"0,6","3,2",14,5
02-01-2017 06:00,----,"4,3","3,9",32,1
02-01-2017 07:00,----,"14,2","6,3",17,3
02-01-2017 08:00,----,"16,4",8,6,22
02-01-2017 09:00,----,"11,3","4,1",3,8
02-01-2017 10:00,----,"6,7",0,3,11
02-01-2017 11:00,----,5,0,2,9
02-01-2017 12:00,----,"11,8",0,4,9
02-01-2017 13:00,----,"14,1",0,6,5
02-01-2017 14:00,----,"9,1",0,5,5
02-01-2017 15:00,----,"4,1",38,5,8
02-01-2017 16:00,----,"3,1",0,11,5
02-01-2017 17:00,----,"4,3",0,7,11
02-01-2017 18:00,----,"3,4","1,5",10,8
02-01-2017 19:00,----,"3,8","5,7",9,11
02-01-2017 20:00,----,"5,2","9,4",13,9
02-01-2017 21:00,----,"7,3",12,21,9
02-01-2017 22:00,----,"9,4","10,8",16,5
02-01-2017 23:00,----,"12,1","8,7",16,7
02-01-2017 24:00,----,"13,2","9,2",28,9
03-01-2017 01:00,----,"17,5","6,2",23,7
03-01-2017 02:00,----,"23,8",3,37,20
03-01-2017 03:00,----,"23,9","5,1",29,1
03-01-2017 04:00,----,23,"6,4",12,7
03-01-2017 05:00,----,"21,7","9,1",25,5
03-01-2017 06:00,----,"21,9","8,4",26,6
03-01-2017 07:00,----,"30,1",10,26,8
03-01-2017 08:00,----,"33,2","10,1",26,18
03-01-2017 09:00,----,"28,2","10,2",24,12
03-01-2017 10:00,----,"22,6","8,5",11,11
03-01-2017 11:00,----,"16,8",1,6,7
03-01-2017 12:00,----,"12,3",0,5,4
03-01-2017 13:00,----,"7,2",0,4,3
03-01-2017 14:00,----,"3,7",0,8,9
03-01-2017 15:00,"19,3","2,3",0,17,5
03-01-2017 16:00,"29,6","8,5",0,18,3
03-01-2017 17:00,"10,6","12,2",0,15,18
03-01-2017 18:00,"17,5","12,2","0,1",15,12
03-01-2017 19:00,"13,4","12,8","4,3",21,6
03-01-2017 20:00,"10,7","13,5","8,6",19,8
03-01-2017 21:00,"17,8",14,11,19,8
03-01-2017 22:00,"12,9","14,3","12,2",21,9
03-01-2017 23:00,"16,7","14,7","11,6",12,12
03-01-2017 24:00,6,11,"7,3",12,7
04-01-2017 01:00,"13,3","7,6","6,6",10,6
04-01-2017 02:00,"6,1","6,5","6,8",9,14
04-01-2017 03:00,"6,2","7,8","7,2",11,8
04-01-2017 04:00,"9,1","10,1","7,3",10,6
04-01-2017 05:00,2,"12,6","8,7",26,5
04-01-2017 06:00,"14,4","16,3","8,8",36,8
04-01-2017 07:00,"13,2","23,3",9,28,11
04-01-2017 08:00,"12,3","29,3","11,1",20,32
04-01-2017 09:00,"14,8","34,9","13,2",14,30
04-01-2017 10:00,"20,1","32,7","17,5",9,27
04-01-2017 11:00,"26,9","26,3","19,9",18,25
04-01-2017 12:00,"23,4","21,6","18,4",17,25
04-01-2017 13:00,"31,9","18,3","11,5",24,6
04-01-2017 14:00,"26,5","16,4","33,7",27,28
04-01-2017 15:00,"12,3","14,2","4,2",18,10
04-01-2017 16:00,"10,6","12,1","2,8",17,9
04-01-2017 17:00,"0,4","11,6","4,1",17,5
04-01-2017 18:00,"12,5","12,7","8,1",25,18
04-01-2017 19:00,"9,3","13,3","9,1",21,20
04-01-2017 20:00,"9,2","14,2","8,8",33,24
04-01-2017 21:00,"22,7","18,7","9,7",26,21
04-01-2017 22:00,"21,5","22,5","10,7",35,13
04-01-2017 23:00,"27,8","23,5","12,2",22,22
04-01-2017 24:00,"22,3","26,6","14,4",24,23
05-01-2017 01:00,"15,6","26,9","16,8",10,18
05-01-2017 02:00,"13,2","27,5","19,7",25,13
05-01-2017 03:00,"25,1",29,"18,2",12,17
05-01-2017 04:00,"10,4",27,"16,5",21,7
05-01-2017 05:00,"9,4","22,9","14,5",32,16
05-01-2017 06:00,"11,4","22,1","11,7",31,24
05-01-2017 07:00,19,"25,5",15,27,31
05-01-2017 08:00,"17,2","31,8","18,7",25,30
05-01-2017 09:00,"13,8",34,"18,2",27,32
05-01-2017 10:00,"13,8","28,6","11,3",11,16
05-01-2017 11:00,"11,5","22,9","6,7",10,8
05-01-2017 12:00,"18,3",21,"1,9",10,7
05-01-2017 13:00,"30,2","22,9","1,4",21,7
05-01-2017 14:00,"36,6","24,8","3,3",30,7
05-01-2017 15:00,"7,3","22,3","3,8",14,27
05-01-2017 16:00,"13,9","21,5","5,4",21,12
05-01-2017 17:00,"32,8",23,9,25,25
05-01-2017 18:00,"27,1","21,5","13,8",25,19
05-01-2017 19:00,"20,7","21,6",17,16,15
05-01-2017 20:00,"17,5","20,1","17,6",37,9
05-01-2017 21:00,"25,2",18,"16,9",39,6
05-01-2017 22:00,"6,3","19,5",12,32,4
05-01-2017 23:00,"6,3","20,9","10,7",25,4
05-01-2017 24:00,"11,5","17,4","8,3",27,2
06-01-2017 01:00,6,15,"5,8",17,6
06-01-2017 02:00,5,"14,6","5,5",20,11
06-01-2017 03:00,"6,9","14,9","5,8",8,13
06-01-2017 04:00,"1,1",11,"5,9",13,8
06-01-2017 05:00,"12,1","9,5","5,6",14,6
06-01-2017 06:00,2,"17,1","8,6",22,11
06-01-2017 07:00,"22,6","27,3","7,7",20,10
06-01-2017 08:00,"11,8","33,5","7,5",19,12
06-01-2017 09:00,10,"29,7","8,5",22,8
06-01-2017 10:00,"6,3",21,"9,4",7,15
06-01-2017 11:00,"4,9","12,3","6,5",7,25
06-01-2017 12:00,"2,8","6,4","1,4",11,7
06-01-2017 13:00,"8,7","5,8","30,5",8,8
06-01-2017 14:00,"10,4","8,6",0,12,4
06-01-2017 15:00,0,"10,5",0,9,2
06-01-2017 16:00,"6,1","10,5",0,7,8
06-01-2017 17:00,0,"10,3","2,5",10,4
06-01-2017 18:00,4,"9,3","6,7",23,18
06-01-2017 19:00,"12,1",12,"6,7",24,4
06-01-2017 20:00,"4,4","14,4","7,2",29,6
06-01-2017 21:00,"5,7","15,5","7,4",21,9
06-01-2017 22:00,"2,4","14,4","5,3",10,6
06-01-2017 23:00,"5,9","13,7","4,8",13,7
06-01-2017 24:00,"3,5","13,8",5,20,8
07-01-2017 01:00,----,"13,2","6,7",13,9
07-01-2017 02:00,----,"9,2","7,7",17,7
07-01-2017 03:00,"5,6","6,5","6,6",23,6
07-01-2017 04:00,"6,8","7,1","5,2",18,7
07-01-2017 05:00,"3,4","9,1","4,3",21,12
07-01-2017 06:00,"9,1","9,5","6,3",40,15
07-01-2017 07:00,"10,6","11,3","8,4",39,13
07-01-2017 08:00,"12,7","14,8","10,1",40,12
07-01-2017 09:00,"11,4","17,8","9,7",12,39
07-01-2017 10:00,"2,6","13,5","8,4",8,10
07-01-2017 11:00,"8,4","10,2","4,1",6,19
