DateTime,MinAmbiente,Movil 7ma,Tunal
01-01-2017 01:00,6,6,32
01-01-2017 02:00,9,33,56
01-01-2017 03:00,6,33,30
01-01-2017 04:00,4,6,8
01-01-2017 05:00,2,----,4
01-01-2017 06:00,6,7,5
01-01-2017 07:00,6,4,3
01-01-2017 08:00,4,16,0
01-01-2017 09:00,0,8,9
01-01-2017 10:00,2,9,11
01-01-2017 11:00,4,4,6
01-01-2017 12:00,3,1,2
01-01-2017 13:00,2,5,10
01-01-2017 14:00,1,3,1
01-01-2017 15:00,1,4,24
01-01-2017 16:00,0,7,10
01-01-2017 17:00,0,8,26
01-01-2017 18:00,1,9,9
01-01-2017 19:00,5,9,17
01-01-2017 20:00,4,10,8
01-01-2017 21:00,8,11,11
01-01-2017 22:00,9,11,7
01-01-2017 23:00,9,12,7
01-01-2017 24:00,4,10,10
02-01-2017 01:00,0,5,11
02-01-2017 02:00,2,6,23
02-01-2017 03:00,3,7,68
02-01-2017 04:00,4,3,37
02-01-2017 05:00,4,1,38
02-01-2017 06:00,5,3,43
02-01-2017 07:00,4,26,68
02-01-2017 08:00,6,15,49
02-01-2017 09:00,5,19,10
02-01-2017 10:00,5,4,14
02-01-2017 11:00,0,3,2
02-01-2017 12:00,0,5,2
02-01-2017 13:00,3,5,12
02-01-2017 14:00,3,9,7
02-01-2017 15:00,4,13,42
02-01-2017 16:00,1,12,44
02-01-2017 17:00,0,12,49
02-01-2017 18:00,3,7,35
02-01-2017 19:00,2,5,10
02-01-2017 20:00,7,4,10
02-01-2017 21:00,9,4,15
02-01-2017 22:00,8,8,13
02-01-2017 23:00,6,12,16
02-01-2017 24:00,8,15,4
03-01-2017 01:00,4,14,24
03-01-2017 02:00,0,17,14
03-01-2017 03:00,1,4,5
03-01-2017 04:00,6,9,1
03-01-2017 05:00,15,11,8
03-01-2017 06:00,10,7,24
03-01-2017 07:00,12,23,38
03-01-2017 08:00,8,30,16
03-01-2017 09:00,10,29,15
03-01-2017 10:00,12,14,5
03-01-2017 11:00,9,13,8
03-01-2017 12:00,6,11,10
03-01-2017 13:00,2,12,3
03-01-2017 14:00,0,16,5
03-01-2017 15:00,0,6,12
03-01-2017 16:00,4,29,13
03-01-2017 17:00,20,31,20
03-01-2017 18:00,26,24,29
03-01-2017 19:00,20,28,26
03-01-2017 20:00,15,23,11
03-01-2017 21:00,10,19,9
03-01-2017 22:00,15,20,9
03-01-2017 23:00,12,14,7
03-01-2017 24:00,12,12,4
04-01-2017 01:00,8,6,3
04-01-2017 02:00,4,7,14
04-01-2017 03:00,4,12,18
04-01-2017 04:00,9,9,13
04-01-2017 05:00,10,7,13
04-01-2017 06:00,18,35,15
04-01-2017 07:00,10,51,17
04-01-2017 08:00,17,44,20
04-01-2017 09:00,32,43,21
04-01-2017 10:00,42,39,52
04-01-2017 11:00,30,35,38
04-01-2017 12:00,35,30,40
04-01-2017 13:00,31,52,36
04-01-2017 14:00,23,24,16
04-01-2017 15:00,19,22,6
04-01-2017 16:00,5,12,7
04-01-2017 17:00,2,13,14
04-01-2017 18:00,21,17,19
04-01-2017 19:00,23,29,27
04-01-2017 20:00,13,24,13
04-01-2017 21:00,33,31,21
04-01-2017 22:00,25,32,17
04-01-2017 23:00,22,26,10
04-01-2017 24:00,20,31,11
05-01-2017 01:00,10,22,20
05-01-2017 02:00,15,16,10
05-01-2017 03:00,24,22,11
05-01-2017 04:00,21,15,11
05-01-2017 05:00,23,24,16
05-01-2017 06:00,25,37,18
05-01-2017 07:00,38,40,17
05-01-2017 08:00,41,29,33
