"Date","Centro_de_Alto_Rendimiento","Puente_Aranda"
"01-01-2013 01:00",22.8,30
"01-01-2013 02:00",40.8,52.8
"01-01-2013 11:00",11.7,13.8
"05-01-2013 05:00",26.2,47
"11-02-2013 17:00",64.2,
"21-02-2014 17:00",23.7,42.3
"21-02-2014 18:00",33.3,51.5
"21-02-2014 19:00",63.3,66
"21-02-2014 20:00",59.7,77.3
"21-02-2014 21:00",79.8,83.7
"21-02-2014 22:00",67,83.7
"21-02-2014 23:00",83.8,91.7
"21-02-2014 00:00",92.8,86.7
"22-02-2014 01:00",90.7,69.8
"22-02-2014 02:00",81.5,71.2
"11-02-2013 18:00",70.5,
"22-02-2014 03:00",70,78
"22-02-2014 04:00",74,58.3
"22-02-2014 05:00",68.7,60.2
"22-02-2014 06:00",69.7,66.5
"22-02-2014 07:00",84.5,95.5
"22-02-2014 08:00",94.5,103.8
"22-02-2014 09:00",105.5,100
"22-02-2014 10:00",91.8,56.8
"22-02-2014 11:00",55.3,39.7
"22-02-2014 12:00",27.8,33.7
"11-02-2013 19:00",70.7,
"22-02-2014 13:00",33.5,42
"22-02-2014 14:00",48.2,70.3
"22-02-2014 15:00",79.7,83.2
"22-02-2014 16:00",59.5,62.7
"22-02-2014 17:00",63.5,56.5
"22-02-2014 18:00",45.8,57
"22-02-2014 19:00",46.7,49.3
"22-02-2014 20:00",55,63
"22-02-2014 21:00",54,70.8
"22-02-2014 22:00",50.7,57.3
"11-02-2013 20:00",56,
"22-02-2014 23:00",62.3,46
"22-02-2014 00:00",79.7,55
"23-02-2014 01:00",81,50
"23-02-2014 02:00",69.8,48.3
"23-02-2014 03:00",65.5,38.8
"23-02-2014 04:00",72.3,35.2
"23-02-2014 05:00",65.7,49.3
"23-02-2014 06:00",50,63.7
"23-02-2014 07:00",55,58.7
"23-02-2014 08:00",57.7,92.3
"11-02-2013 21:00",41.3,
"23-02-2014 09:00",69.8,92.2
"23-02-2014 10:00",62.8,77.2
"23-02-2014 11:00",52.5,44
"23-02-2014 12:00",29.8,23.5
"23-02-2014 13:00",27.8,22
"23-02-2014 14:00",26.3,34.7
"23-02-2014 15:00",52.2,71.5
"23-02-2014 16:00",68.3,61.3
"23-02-2014 17:00",41.2,49.3
"23-02-2014 18:00",24.7,53.5
"11-02-2013 22:00",44.2,
"23-02-2014 19:00",38.7,43.3
"23-02-2014 20:00",42.7,54.7
"23-02-2014 21:00",47,53.8
"23-02-2014 22:00",51.2,60
"23-02-2014 23:00",49,73.3
"23-02-2014 00:00",61.7,87.7
"24-02-2014 01:00",74.3,72.3
"24-02-2014 02:00",68.7,51
"24-02-2014 03:00",56.7,38.8
"24-02-2014 04:00",54.7,50.8
"11-02-2013 23:00",52.2,
"24-02-2014 05:00",53.8,42
"24-02-2014 06:00",58.5,54.8
"24-02-2014 07:00",67.3,72.5
"24-02-2014 08:00",103.7,93.7
"24-02-2014 09:00",120,113.8
"24-02-2014 10:00",80,107.7
"24-02-2014 11:00",49.3,31.3
"24-02-2014 12:00",20,31.2
"24-02-2014 13:00",15,21.5
"24-02-2014 14:00",15.2,19.8
"11-02-2013 00:00",62.3,
"24-02-2014 15:00",22.3,31.8
"24-02-2014 16:00",58,70.2
"24-02-2014 17:00",75.7,66.3
"24-02-2014 18:00",62.5,65.5
"24-02-2014 19:00",54.5,55.7
"24-02-2014 20:00",56,64.7
"24-02-2014 21:00",69.8,44
"24-02-2014 22:00",38.3,46.7
"24-02-2014 23:00",36.8,37
"24-02-2014 00:00",46.8,45.3
"12-02-2013 01:00",58,
"25-02-2014 01:00",46,37.2
"25-02-2014 02:00",22,38.8
"25-02-2014 03:00",27.7,40.2
"25-02-2014 04:00",33.3,30.3
"25-02-2014 05:00",47.3,51.8
"25-02-2014 06:00",58.3,57.5
"25-02-2014 07:00",67.8,97.7
"25-02-2014 08:00",132,135.8
"25-02-2014 09:00",,133.5
"25-02-2014 10:00",,123.2
"12-02-2013 02:00",51.2,
"25-02-2014 11:00",106,103.3
"25-02-2014 12:00",39.7,75.5
"25-02-2014 13:00",64.2,78.7
"25-02-2014 14:00",93.5,83
"25-02-2014 15:00",85.3,87.2
"25-02-2014 16:00",85,84.5
"25-02-2014 17:00",104.5,93.3
"25-02-2014 18:00",126.5,97.3
"25-02-2014 19:00",119.3,85.5
"25-02-2014 20:00",97.5,91.7
"05-01-2013 06:00",27.3,38.2
"12-02-2013 03:00",41.5,
"25-02-2014 21:00",101.8,88.8
"25-02-2014 22:00",88.3,114.8
"25-02-2014 23:00",104.7,142.3
"25-02-2014 00:00",125.5,104.7
"26-02-2014 01:00",107.3,79.3
"26-02-2014 02:00",75.8,62.2
"26-02-2014 03:00",60.5,67.3
"26-02-2014 04:00",62.2,63.8
"26-02-2014 05:00",58.2,63
"26-02-2014 06:00",62,67.3
"12-02-2013 04:00",37.8,
"26-02-2014 07:00",80.7,88.8
"26-02-2014 08:00",100.8,88.8
"26-02-2014 09:00",112.2,90
"26-02-2014 10:00",111.5,69
"26-02-2014 11:00",49.2,39.5
"26-02-2014 12:00",26.2,38.5
"26-02-2014 13:00",28.7,22
"26-02-2014 14:00",14.8,26.8
"26-02-2014 15:00",28,28.8
