"predicted=21.159640, expected=18.000000"
"predicted=20.516387, expected=23.000000"
"predicted=21.591941, expected=33.000000"
"predicted=30.215613, expected=25.000000"
"predicted=23.083798, expected=14.000000"
"predicted=14.711972, expected=13.000000"
"predicted=14.021357, expected=10.000000"
"predicted=12.419226, expected=15.000000"
"predicted=17.501224, expected=19.000000"
"predicted=19.556685, expected=16.000000"
"predicted=15.653139, expected=14.000000"
"predicted=13.762498, expected=17.000000"
"predicted=16.057181, expected=17.000000"
"predicted=16.815259, expected=20.000000"
"predicted=19.701284, expected=23.000000"
"predicted=21.813829, expected=17.000000"
"predicted=16.670400, expected=39.000000"
"predicted=35.330706, expected=55.000000"
"predicted=49.009341, expected=54.000000"
"predicted=48.670829, expected=20.000000"
"predicted=20.563339, expected=16.000000"
"predicted=16.999085, expected=11.000000"
"predicted=16.134672, expected=11.000000"
"predicted=17.823768, expected=22.000000"
"predicted=25.862837, expected=16.000000"
"predicted=16.528660, expected=19.000000"
"predicted=18.293876, expected=22.000000"
"predicted=20.296853, expected=14.000000"
"predicted=13.928450, expected=13.000000"
"predicted=14.228072, expected=15.000000"
"predicted=15.282054, expected=12.000000"
"predicted=13.209592, expected=31.000000"
"predicted=29.150975, expected=38.000000"
"predicted=34.138937, expected=29.000000"
"predicted=26.531189, expected=28.000000"
"predicted=25.884018, expected=24.000000"
"predicted=22.823304, expected=24.000000"
"predicted=25.323832, expected=28.000000"
"predicted=29.262674, expected=35.000000"
"predicted=33.956630, expected=51.000000"
"predicted=47.102053, expected=52.000000"
"predicted=47.558316, expected=34.000000"
"predicted=32.644671, expected=42.000000"
"predicted=40.008770, expected=37.000000"
"predicted=37.325139, expected=43.000000"
"predicted=44.185211, expected=53.000000"
"predicted=52.201120, expected=42.000000"
"predicted=41.062494, expected=29.000000"
"predicted=30.973568, expected=32.000000"
"predicted=33.043882, expected=19.000000"
"predicted=23.255370, expected=13.000000"
"predicted=18.970186, expected=18.000000"
"predicted=21.372310, expected=11.000000"
"predicted=13.987223, expected=14.000000"
"predicted=16.359271, expected=19.000000"
"predicted=18.791093, expected=25.000000"
"predicted=23.203797, expected=19.000000"
"predicted=18.643822, expected=16.000000"
"predicted=15.328312, expected=17.000000"
"predicted=16.718548, expected=16.000000"
"predicted=16.679253, expected=17.000000"
"predicted=18.047406, expected=28.000000"
"predicted=26.401874, expected=36.000000"
"predicted=32.809379, expected=14.000000"
"predicted=14.572187, expected=19.000000"
"predicted=18.535587, expected=18.000000"
"predicted=18.295438, expected=17.000000"
"predicted=18.954817, expected=14.000000"
"predicted=16.786142, expected=21.000000"
"predicted=20.007838, expected=14.000000"
"predicted=14.815294, expected=16.000000"
"predicted=16.244958, expected=14.000000"
"predicted=14.427343, expected=23.000000"
"predicted=21.715858, expected=31.000000"
"predicted=29.133557, expected=29.000000"
"predicted=26.676080, expected=28.000000"
"predicted=26.044749, expected=33.000000"
"predicted=30.284083, expected=28.000000"
"predicted=27.510806, expected=47.000000"
"predicted=44.243410, expected=51.000000"
"predicted=47.482258, expected=37.000000"
"predicted=35.790237, expected=29.000000"
"predicted=29.574389, expected=23.000000"
"predicted=24.527572, expected=28.000000"
"predicted=31.103620, expected=30.000000"
"predicted=32.839405, expected=33.000000"
"predicted=33.316414, expected=37.000000"
"predicted=35.510787, expected=25.000000"
"predicted=24.936919, expected=18.000000"
"predicted=19.705561, expected=18.000000"
"predicted=20.050864, expected=12.000000"
"predicted=15.497785, expected=26.000000"
"predicted=27.227342, expected=34.000000"
"predicted=32.295339, expected=21.000000"
